"","grid.x","gridpoint","m","sol.y","burn.depth.y","density_spruce","burn.year1","new.td","prefireSOL","propSOL","group1","Density"
"1","ET","ET1","E",18,13.82415333,0,"burn",39.3,31.82415333,0.434391865406463,"0","low"
"2","ET","ET1","N",18.1,11.25748667,0,"burn",44.5,29.35748667,0.383462208347143,"0","low"
"3","ET","ET1","S",24.3,13.59082,0,"burn",29,37.89082,0.358683712835985,"0","low"
"4","ET","ET1","W",15.5,11.36415333,0,"burn",31.4,26.86415333,0.423022947732706,"0","low"
"5","ET","ET10","E",19.5,3.897486667,0,"burn",28.5,23.397486667,0.166577150891042,"0","low"
"6","ET","ET10","N",28,10.44415333,0,"burn",28.4,38.44415333,0.271670785420832,"0","low"
"7","ET","ET10","S",22,9.307076667,0,"burn",25,31.307076667,0.297283478939775,"0","low"
"8","ET","ET10","W",12.5,10.12041,0,"burn",30.2,22.62041,0.447401704920468,"0","low"
"9","ET","ET11","E",12.5,15.19748667,0,"burn",44.5,27.69748667,0.548695513461908,"0","low"
"10","ET","ET11","N",10.5,8.824153333,0,"burn",35.1,19.324153333,0.456638548708415,"0","low"
"11","ET","ET11","S",9,9.304153333,0,"burn",34.2,18.304153333,0.508308314715973,"0","low"
"12","ET","ET11","W",23,11.35748667,0,"burn",33.4,34.35748667,0.330568029585151,"0","low"
"13","ET","ET13","E",23,10.94457667,0,"burn",36.2,33.94457667,0.32242489798592,"0","low"
"14","ET","ET13","N",18,6.33082,0,"burn",39.7,24.33082,0.260197560131553,"0","low"
"15","ET","ET13","S",12,12.31748667,0,"burn",29.9,24.31748667,0.506527949913337,"0","low"
"16","ET","ET13","W",19.5,7.45082,0,"burn",35.1,26.95082,0.27645986281679,"0","low"
"17","ET","ET14","E",1.2,4.95082,0,"burn",61,6.15082,0.804904061572278,"0","low"
"18","ET","ET14","N",9.5,12.71082,0,"burn",45.9,22.21082,0.572280537143608,"0","low"
"19","ET","ET14","S",16,15.52415333,0,"burn",35.3,31.52415333,0.492452665341734,"0","low"
"20","ET","ET14","W",7.5,7.337076667,0,"burn",37.5,14.837076667,0.494509587816501,"0","low"
"21","ET","ET15","E",7,7.824153333,0,"burn",38.5,14.824153333,0.527797652738971,"0","low"
"22","ET","ET15","N",23,6.65082,0,"burn",33,29.65082,0.224304757844808,"0","low"
"23","ET","ET15","S",20,8.064153333,0,"burn",39.8,28.064153333,0.287347109221982,"0","low"
"24","ET","ET15","W",16.5,7.67082,0,"burn",41.9,24.17082,0.317358699456618,"0","low"
"25","ET","ET16","E",24.2,6.564153333,0,"burn",42.4,30.764153333,0.21337019296282,"0","low"
"26","ET","ET16","N",12.5,20.86415333,0,"burn",47.7,33.36415333,0.62534640467677,"0","low"
"27","ET","ET17","E",13,5.19082,0,"burn",35,18.19082,0.285353821323063,"0","low"
"28","ET","ET17","N",21.5,4.357486667,0,"burn",42.5,25.857486667,0.168519343086857,"0","low"
"29","ET","ET17","S",23.5,8.124153333,0,"burn",36.5,31.624153333,0.256897101637893,"0","low"
"30","ET","ET17","W",30,3.717486667,0,"burn",30,33.717486667,0.110253967139205,"0","low"
"31","ET","ET18","E",24.6,11.23748667,0,"burn",33.5,35.83748667,0.313567934422339,"0","low"
"32","ET","ET18","N",15,11.09748667,0,"burn",37.2,26.09748667,0.425232008366421,"0","low"
"33","ET","ET18","S",11.5,12.33082,0,"burn",34.9,23.83082,0.517431628454245,"0","low"
"34","ET","ET18","W",39.8,14.81748667,0,"burn",48.7,54.61748667,0.271295652242798,"0","low"
"35","ET","ET19","E",21.4,15.24415333,0,"burn",41.5,36.64415333,0.416005063419486,"0","low"
"36","ET","ET19","N",6.4,13.94041,0,"burn",58,20.34041,0.685355408273481,"0","low"
"37","ET","ET19","S",32.5,15.05082,0,"burn",39,47.55082,0.31652072456374,"0","low"
"38","ET","ET19","W",10.5,18.12415333,0,"burn",52.4,28.62415333,0.633176923035997,"0","low"
"39","ET","ET2","E",8.5,8.457486667,0,"burn",41,16.957486667,0.498746473052439,"0","low"
"40","ET","ET2","N",2.9,9.97082,0,"burn",48,12.87082,0.774684130459442,"0","low"
"41","ET","ET2","S",15,8.853743333,0,"burn",42,23.853743333,0.371167879581879,"0","low"
"42","ET","ET2","W",15,8.03066641,0,"burn",42,23.03066641,0.348694487038945,"0","low"
"43","ET","ET20","E",16,12.93082,0,"burn",42.8,28.93082,0.446956567425327,"0","low"
"44","ET","ET20","N",18.4,12.54415333,0,"burn",38.5,30.94415333,0.4053804024374,"0","low"
"45","ET","ET20","S",21.2,13.85748667,0,"burn",34.6,35.05748667,0.39527895426281,"0","low"
"46","ET","ET20","W",15,10.52415333,0,"burn",35.9,25.52415333,0.412321348878216,"0","low"
"47","ET","ET21","N",29,13.65748667,0,"burn",36.5,42.65748667,0.320166229568443,"0","low"
"48","ET","ET21","S",12.5,17.01082,0,"burn",31.4,29.51082,0.576426544569077,"0","low"
"49","ET","ET21","W",23.1,15.93082,0,"burn",32.4,39.03082,0.408160013035852,"0","low"
"50","ET","ET22","E",13.5,8.382307692,0.099522293,"burn",36.5,21.882307692,0.383063240403319,"(0.0249,0.229]","high"
"51","ET","ET22","W",6.2,2.857486667,0.099522293,"burn",47.5,9.057486667,0.315483397553424,"(0.0249,0.229]","high"
"52","ET","ET23","E",24,5.29082,0.004976115,"burn",42,29.29082,0.180630654928746,"(0,0.0249]","mid"
"53","ET","ET23","N",8,11.29082,0.004976115,"burn",67.5,19.29082,0.585294974500825,"(0,0.0249]","mid"
"54","ET","ET23","S",16,8.257486667,0.004976115,"burn",27.5,24.257486667,0.340409819877734,"(0,0.0249]","mid"
"55","ET","ET23","W",0,4.824153333,0.004976115,"burn",39,4.824153333,1,"(0,0.0249]","mid"
"56","ET","ET24","N",35.5,8.856666667,0.024880573,"burn",35.5,44.356666667,0.199669346966261,"(0,0.0249]","mid"
"57","ET","ET24","S",30.5,9.256666667,0.024880573,"burn",30.5,39.756666667,0.232833067835727,"(0,0.0249]","mid"
"58","ET","ET24","W",30,7.177314762,0.024880573,"burn",30,37.177314762,0.193056298120168,"(0,0.0249]","mid"
"59","ET","ET25","E",25.5,7.14041,0.129378981,"burn",35.5,32.64041,0.218759813372442,"(0.0249,0.229]","high"
"60","ET","ET25","N",22,7.752314762,0.129378981,"burn",38,29.752314762,0.260561735246944,"(0.0249,0.229]","high"
"61","ET","ET25","S",19.5,5.807076667,0.129378981,"burn",33.5,25.307076667,0.22946453845348,"(0.0249,0.229]","high"
"62","ET","ET25","W",34.5,5.734640769,0.129378981,"burn",34.5,40.234640769,0.142529935880984,"(0.0249,0.229]","high"
"63","ET","ET3","E",2,5.584153333,0.004976115,"burn",60.8,7.584153333,0.736292251463635,"(0,0.0249]","mid"
"64","ET","ET3","N",3.5,10.53082,0.004976115,"burn",43.5,14.03082,0.750549148232249,"(0,0.0249]","mid"
"65","ET","ET3","S",20.5,9.244153333,0.004976115,"burn",39.5,29.744153333,0.310788921422886,"(0,0.0249]","mid"
"66","ET","ET3","W",17,5.964153333,0.004976115,"burn",40,22.964153333,0.259715794722089,"(0,0.0249]","mid"
"67","ET","ET4","E",40.2,6.887076667,0.079617834,"burn",40.2,47.087076667,0.146262566175119,"(0.0249,0.229]","high"
"68","ET","ET4","N",25.5,2.471179231,0.079617834,"burn",25.5,27.971179231,0.0883473381866301,"(0.0249,0.229]","high"
