GRID_ID,PrePost,plot,Grid_plot,GridPlotYear,alnvir,andpol,anepar,aneric,arclat,arcrub,betnan,betneo,betocc,calcan,callap,calstr.ine,caraqu,carbig,carcan,carcap1,carcho,carcon1,cargyn,carliv,carmem,carpra1,carrot,carsci,carvag,chacal,corcan,dipcom,drorot,dryint.syl,empnig,epiang,epigla,epilat,epipal,equarv,equflu,equpra,equsci,equsyl,equvar,eriang,eribra,erisch,erivag,fesalt,galbor,geoliv,hedalp,larlar,leddec,ledgro,linbor,luzmul,luzruf,lycann,moelat,myrgal,ortsec,oxymic,parnud,pedcap,pedint,pedlab,pedlan1,pedoed,petfri,picgla,picmar,pinvil,poaarc,poapal,polala,polbis,polviv,poptre,potfru,ribtri,rosaci,rubarc,rubcha,salarb,salbeb,salgla,salmyr,salpul,salret,salric,sanoff,sauang,saxhir,selsel,sencon,spirom,spiste,stelon2,thaalp,tofcoc,tofpus,tricae,vaculi,vacvit,vibedu
ET,post,10,ET10,ET10post,0,0,0,0,0,0,3.39,0,0,0,3.39,0,0,11.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,13.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.78,3.39,0
ET,pre,10,ET10,ET10pre,0,0,0,0,0,0,6.779661017,0,0,0,0,0,0,25.42372881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.694915254,0,0,0,0,0,0,0,0,0,0,0,0,0,15.25423729,0,0,0,0,0,30.50847458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.694915254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.389830508,20.33898305,0
ET,post,11,ET11,ET11post,3.39,0,0,0,0,0,5.08,0,0,0,6.78,0,0,6.78,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,8.47,0,0,0,0,0,0,0,0,0,0,0,0,16.95,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47,0,0
ET,pre,11,ET11,ET11pre,13.55932203,0,0,0,0,0,32.20338983,0,0,0,0,0,0,20.33898305,0,0,0,0,0,0,0,0,0,0,0,3.389830508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.11864407,0,0,0,0,0,28.81355932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.694915254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03389831,13.55932203,0
ET,post,12,ET12,ET12post,0,6.94,0,0,0,0,6.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,0,0,5.56,0,0
ET,pre,12,ET12,ET12pre,0,5.084745763,0,0,0,0,5.084745763,0,0,0,0,0,0,10.16949153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.33898305,0,0,28.81355932,0,0,0,0,0,1.694915254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.694915254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.694915254,0,0,5.084745763,0,0
ET,post,13,ET13,ET13post,0,0,0,0,0,0,3.39,0,0,0,1.69,0,0,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.29,0,0,0,0,0,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47,1.69,0
ET,pre,13,ET13,ET13pre,0,0,0,0,0,0,10.16949153,0,0,0,0,0,0,11.86440678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.20338983,0,0,0,0,0,23.72881356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.389830508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.389830508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6440678,20.33898305,0
ET,post,14,ET14,ET14post,0,0,0,0,0,0,6.78,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.9,0,0,0,0,0,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,0,0,0,0,0,0,0,0,0,10.17,0,0,0,0,5.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.78,0,0
ET,pre,14,ET14,ET14pre,0,0,0,0,0,0,16.94915254,0,0,0,0,0,0,1.694915254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.389830508,0,0,0,0,0,0,0,0,0,0,0,0,0,40.6779661,0,0,0,0,0,18.6440678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.694915254,0,0,0,0,1.694915254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.084745763,23.72881356,0
