"","grid","site","density_spruce","p.elevation","p.slope","p.aspect.corrected","p.equivalent.latitude","moisture","moisture1","Density","Density1"
"1","ET",1,0,599,5,297,65.65470653,"mesic-subhygric",5,"low","1"
"2","ET",10,0,569,3,26,66.43428686,"mesic-subhygric",5,"low","1"
"3","ET",11,0,560,0,61,64.01452854,"subhygric",6,"low","1"
"4","ET",12,0,567,0,92,63.75394102,"subhygric",6,"low","1"
"5","ET",13,0,555,0,221,63.39676482,"subhygric",6,"low","1"
"6","ET",14,0,547,3,263,63.25626976,"mesic-subhygric",5,"low","1"
"7","ET",15,0,551,3,307,65.47294054,"mesic",4,"low","1"
"8","ET",16,0,545,2,8,65.75902604,"subhygric",6,"low","1"
"9","ET",17,0,579,4,50,66.16764103,"mesic-subhygric",5,"low","1"
"10","ET",18,0,571,5,341,68.4508414,"mesic-subhygric",5,"low","1"
"11","ET",19,0,540,4,246,61.93198906,"mesic-subhygric",5,"low","1"
"12","ET",2,0,606,4,243,61.74129805,"mesic-subhygric",5,"low","1"
"13","ET",20,0,536,2,332,65.53015893,"mesic-subhygric",5,"low","1"
"14","ET",21,0,533,1,108,63.45966613,"subhygric",6,"low","1"
"15","ET",22,0.099522293,555,8,75,64.73213312,"mesic",4,"high","3"
"16","ET",23,0.004976115,551,6,263,62.44917638,"mesic-subhygric",5,"mid","2"
"17","ET",24,0.024880573,533,2,324,65.37718114,"mesic-subhygric",5,"mid","2"
"18","ET",25,0.129378981,528,0,297,64.00892606,"mesic-subhygric",5,"high","3"
"19","ET",3,0.004976115,605,3,117,62.28519678,"mesic",4,"mid","2"
"20","ET",4,0.079617834,585,2,278,63.97562679,"mesic-subhygric",5,"high","3"
"21","ET",5,0.019904459,573,1,351,64.75483005,"mesic-subhygric",5,"mid","2"
"22","ET",6,0,577,3,245,62.37862518,"mesic-subhygric",5,"low","1"
"23","ET",7,0,590,4,307,65.98030799,"mesic-subhygric",5,"low","1"
"24","ET",8,0,580,2,19,65.6545224,"mesic-subhygric",5,"low","1"
"25","ET",9,0,562,2,1,65.7714864,"mesic-subhygric",5,"low","1"
"26","WC",1,0,472,3,138,61.56066998,"mesic-subhygric",5,"low","1"
"27","WC",10,0,453,1,305,64.4228719,"subhygric",6,"low","1"
"28","WC",11,0.07464172,460,4,179,59.86549943,"mesic",4,"high","3"
"29","WC",12,0.009952229,469,2,184,61.86974531,"mesic-subhygric",5,"mid","2"
"30","WC",13,0.019904459,482,2,161,61.96736854,"mesic-subhygric",5,"mid","2"
"31","WC",14,0.044785032,494,7,250,60.77541773,"mesic",4,"high","3"
"32","WC",15,0,454,3,295,64.99598211,"subhygric",6,"low","1"
"33","WC",16,0,472,4,103,62.70969544,"mesic-subhygric",5,"low","1"
"34","WC",17,0.044785032,485,4,73,64.76803232,"mesic",4,"high","3"
"35","WC",18,0.029856688,503,2,157,62.01871112,"mesic-subhygric",5,"high","3"
"36","WC",19,0.228901274,536,11,185,52.90049776,"mesic",4,"high","3"
"37","WC",2,0,463,2,81,64.09899026,"subhygric",6,"low","1"
"38","WC",20,0.079617834,518,23,301,66.21379522,"mesic",4,"high","3"
"39","WC",21,0.204020701,512,4,196,60.00996251,"mesic",4,"high","3"
"40","WC",22,0.189092357,549,7,183,56.88182664,"mesic",4,"high","3"
"41","WC",24,0.024880573,594,13,267,60.41643046,"mesic",4,"mid","2"
"42","WC",3,0.084593949,485,1,153,62.96196525,"mesic-subhygric",5,"high","3"
"43","WC",4,0.009952229,485,6,297,66.01993214,"mesic",4,"mid","2"
"44","WC",5,0,454,1,305,64.41839445,"subhygric",6,"low","1"
"45","WC",6,0.029856688,466,12,286,64.60247508,"mesic-subhygric",5,"high","3"
"46","WC",7,0,466,2,347,65.80551482,"subhygric",6,"low","1"
"47","WC",8,0.094546178,486,4,172,59.89508021,"mesic",4,"high","3"
"48","WC",9,0.069665605,475,9,265,61.72343057,"mesic",4,"high","3"
