"","burn.year","gridpoint","grid","plot","Block","Quad","seed","scar","bd","year","regen"
"1","burned","ET1","ET",1,1,2,"seeded","no_scar",0.1488,"exp.regen",3
"2","burned","ET1","ET",1,1,3,"no_seed","no_scar",0.1488,"exp.regen",0
"3","burned","ET1","ET",1,1,5,"no_seed","scar",0.1488,"exp.regen",0
"4","burned","ET1","ET",1,1,6,"seeded","scar",0.1488,"exp.regen",1
"5","burned","ET1","ET",1,2,1,"seeded","no_scar",0.076891866,"exp.regen",2
"6","burned","ET1","ET",1,2,2,"seeded","scar",0.076891866,"exp.regen",7
"7","burned","ET1","ET",1,2,4,"no_seed","scar",0.076891866,"exp.regen",0
"8","burned","ET1","ET",1,2,6,"no_seed","no_scar",0.076891866,"exp.regen",0
"9","burned","ET1","ET",1,3,1,"no_seed","no_scar",0.089131032,"exp.regen",0
"10","burned","ET1","ET",1,3,3,"no_seed","scar",0.089131032,"exp.regen",0
"11","burned","ET1","ET",1,3,5,"seeded","scar",0.089131032,"exp.regen",7
"12","burned","ET1","ET",1,3,6,"seeded","no_scar",0.089131032,"exp.regen",6
"13","burned","ET1","ET",1,4,1,"no_seed","no_scar",0.123450895,"exp.regen",0
"14","burned","ET1","ET",1,4,3,"seeded","scar",0.123450895,"exp.regen",8
"15","burned","ET1","ET",1,4,4,"no_seed","scar",0.123450895,"exp.regen",0
"16","burned","ET1","ET",1,4,6,"seeded","no_scar",0.123450895,"exp.regen",1
"17","burned","ET1","ET",1,5,1,"no_seed","scar",0.087245565,"exp.regen",0
"18","burned","ET1","ET",1,5,3,"seeded","scar",0.087245565,"exp.regen",18
"19","burned","ET1","ET",1,5,4,"no_seed","no_scar",0.087245565,"exp.regen",0
"20","burned","ET1","ET",1,5,6,"seeded","no_scar",0.087245565,"exp.regen",8
"21","burned","ET11","ET",11,1,2,"no_seed","scar",0.0601,"exp.regen",1
"22","burned","ET11","ET",11,1,4,"no_seed","no_scar",0.0601,"exp.regen",0
"23","burned","ET11","ET",11,1,5,"seeded","no_scar",0.0601,"exp.regen",2
"24","burned","ET11","ET",11,1,6,"seeded","scar",0.0601,"exp.regen",4
"25","burned","ET11","ET",11,2,1,"seeded","no_scar",0.07044,"exp.regen",4
"26","burned","ET11","ET",11,2,3,"seeded","scar",0.07044,"exp.regen",8
"27","burned","ET11","ET",11,2,4,"no_seed","scar",0.07044,"exp.regen",0
"28","burned","ET11","ET",11,2,5,"no_seed","no_scar",0.07044,"exp.regen",0
"29","burned","ET11","ET",11,3,1,"seeded","scar",0.078,"exp.regen",4
"30","burned","ET11","ET",11,3,4,"no_seed","no_scar",0.078,"exp.regen",0
"31","burned","ET11","ET",11,3,5,"no_seed","scar",0.078,"exp.regen",0
"32","burned","ET11","ET",11,3,6,"seeded","no_scar",0.078,"exp.regen",1
"33","burned","ET11","ET",11,4,1,"seeded","scar",0.032356215,"exp.regen",6
"34","burned","ET11","ET",11,4,3,"no_seed","scar",0.032356215,"exp.regen",0
"35","burned","ET11","ET",11,4,4,"no_seed","no_scar",0.032356215,"exp.regen",0
"36","burned","ET11","ET",11,4,5,"seeded","no_scar",0.032356215,"exp.regen",2
"37","burned","ET11","ET",11,5,1,"seeded","scar",0.09588,"exp.regen",8
"38","burned","ET11","ET",11,5,4,"no_seed","scar",0.09588,"exp.regen",0
"39","burned","ET11","ET",11,5,5,"no_seed","no_scar",0.09588,"exp.regen",0
"40","burned","ET11","ET",11,5,6,"seeded","no_scar",0.09588,"exp.regen",6
"41","control","ET26","ET",26,1,1,"no_seed","no_scar",0.08576,"exp.regen",0
"42","control","ET26","ET",26,1,2,"seeded","scar",0.08576,"exp.regen",24
"43","control","ET26","ET",26,1,4,"seeded","no_scar",0.08576,"exp.regen",9
"44","control","ET26","ET",26,1,6,"no_seed","scar",0.08576,"exp.regen",0
"45","control","ET26","ET",26,2,2,"no_seed","scar",0.057511111,"exp.regen",0
"46","control","ET26","ET",26,2,3,"seeded","no_scar",0.057511111,"exp.regen",5
"47","control","ET26","ET",26,2,4,"no_seed","no_scar",0.057511111,"exp.regen",1
"48","control","ET26","ET",26,2,5,"seeded","scar",0.057511111,"exp.regen",23
"49","control","ET26","ET",26,3,1,"seeded","scar",0.071522952,"exp.regen",5
"50","control","ET26","ET",26,3,3,"seeded","no_scar",0.071522952,"exp.regen",2
"51","control","ET26","ET",26,3,4,"no_seed","scar",0.071522952,"exp.regen",0
"52","control","ET26","ET",26,3,6,"no_seed","no_scar",0.071522952,"exp.regen",0
"53","control","ET26","ET",26,4,1,"seeded","scar",0.055371901,"exp.regen",17
"54","control","ET26","ET",26,4,2,"seeded","no_scar",0.055371901,"exp.regen",6
