"","gridpoint","X.1","X","grid","site","burn.year","p.slope","p.aspect.corrected","p.elevation","p.equivalent.latitude","p.aspect.off.180","org.depth","moisture","elevation","latitude","longitude","aspect","slope","bulk.dens","count_betneo","count_betpap","count_larlar","count_picgla","count_picmar","count_poptre","count_salix","count_unknown","count_ALL","count_spruce","density_ALL","density_spruce","density_betneo","density_betpap","density_larlar","density_picgla","density_picmar","density_poptre","density_salix","density_unknown","ba.betneo","ba.betpap","ba.larlar","ba.picgla","ba.picmar","ba.poptre","ba.salix","ba.unknown","thaw.d","sol","mean.org.tot","mean.thaw.d","mean.ar","mean.tus","picmar.seedling","picgla.seedling","spruce.seedling","betneo.seedling","picmar.sdlng.dens","picgla.sdlng.dens","spruce.seedlng.dens","betneo.sdln.dens","tus.height.adj","ar.height.adj","burn.depth","picgla.change","picmar.change","burn.year1","total.bio","total.bio.cons","tree.bio.m2","tree.bio.carbon.m2","tree.bio.cons.m2","tree.carbon.cons.m2","betneo_total.spec.bio","betneo_total.spec.bio.cons","betneo_tree.spec.bio.m2","betneo_tree.spec.bio.carbon.m2","betneo_tree.spec.bio.cons.m2","betneo_tree.spec.carbon.cons.m2","betpap_total.spec.bio","betpap_total.spec.bio.cons","betpap_tree.spec.bio.m2","betpap_tree.spec.bio.carbon.m2","betpap_tree.spec.bio.cons.m2","betpap_tree.spec.carbon.cons.m2","larlar_total.spec.bio","larlar_total.spec.bio.cons","larlar_tree.spec.bio.m2","larlar_tree.spec.bio.carbon.m2","larlar_tree.spec.bio.cons.m2","larlar_tree.spec.carbon.cons.m2","picgla_total.spec.bio","picgla_total.spec.bio.cons","picgla_tree.spec.bio.m2","picgla_tree.spec.bio.carbon.m2","picgla_tree.spec.bio.cons.m2","picgla_tree.spec.carbon.cons.m2","picmar_total.spec.bio","picmar_total.spec.bio.cons","picmar_tree.spec.bio.m2","picmar_tree.spec.bio.carbon.m2","picmar_tree.spec.bio.cons.m2","picmar_tree.spec.carbon.cons.m2","poptre_total.spec.bio","poptre_total.spec.bio.cons","poptre_tree.spec.bio.m2","poptre_tree.spec.bio.carbon.m2","poptre_tree.spec.bio.cons.m2","poptre_tree.spec.carbon.cons.m2","salix_total.spec.bio","salix_total.spec.bio.cons","salix_tree.spec.bio.m2","salix_tree.spec.bio.carbon.m2","salix_tree.spec.bio.cons.m2","salix_tree.spec.carbon.cons.m2","unknown_total.spec.bio","unknown_total.spec.bio.cons","unknown_tree.spec.bio.m2","unknown_tree.spec.bio.carbon.m2","unknown_tree.spec.bio.cons.m2","unknown_tree.spec.carbon.cons.m2","bd.tot","bd.fine","burn.depth_good","burn.D"
"1","BC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.404285714,NA
"2","ET1",4,41,"ET",1,"2013",5,297,599,65.65470653,117,18.98,"mesic-subhygric",599,63.766608,-150.189488,NA,NA,0.150522005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1375,16.3,18.975,36.05,NA,24.01833333,0,0,0,0,0,0,0,0,12.50915333,NA,12.50915333,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150522005,0.111722544,12.5091533325,12.5091533325
"3","ET10",5,42,"ET",10,"2013",3,26,569,66.43428686,154,18.9,"mesic-subhygric",569,63.77204,-150.229545,NA,NA,0.12292131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.725,25.2625,20.5,28.025,7.833333333,19.85666667,0,0,0,0,0,0,0,0,8.347486667,9.823333333,9.08541,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12292131,0.108789434,8.442281666,8.442281666
"4","ET11",6,43,"ET",11,"2013",0,61,560,64.01452854,119,13.5,"subhygric",560,63.775544,-150.188294,NA,NA,0.169051466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.225,21.4125,13.75,36.8,NA,22.68,0,0,0,0,0,0,0,0,11.17082,NA,11.17082,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.169051466,0.134182932,11.1708200015,11.1708200015
"5","ET12",7,44,"ET",12,"2013",0,92,567,63.75394102,88,39.83,"subhygric",567,63.775811,-150.198528,NA,NA,0.122373809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.8125,45.8125,37.125,37.125,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122373809,0.092692358,NA,NA
"6","ET13",8,45,"ET",13,"2013",0,221,555,63.39676482,41,19.93,"subhygric",555,63.775999,-150.208747,NA,NA,0.117352031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,28.85,18.125,35.225,10.26666667,20.39208333,0,0,0,0,0,0,0,0,8.853977895,12.45666667,10.65532228,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117352032,0.093402227,9.260925835,9.260925835
"7","ET14",9,46,"ET",14,"2013",3,263,547,63.25626976,83,8.55,"mesic-subhygric",547,63.776338,-150.218773,NA,NA,0.113930852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6875,25.8875,8.55,44.925,5.613333333,21.52333333,0,0,0,0,0,0,0,0,10.01415333,7.803333333,8.908743333,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113930852,0.088736765,10.13071749925,10.13071749925
"8","ET15",10,47,"ET",15,"2013",3,307,551,65.47294054,127,17.75,"mesic",551,63.776502,-150.229061,NA,NA,0.131715611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3,29.775,16.625,38.3,NA,19.06166667,0,1,1,0,0,0.0625,0.0625,0,7.552486667,NA,7.552486667,0.0625,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131715611,0.103693765,7.5524866665,7.5524866665
"9","ET16",11,48,"ET",16,"2013",2,8,545,65.75902604,172,14.18,"subhygric",545,63.779975,-150.187853,NA,NA,0.157714835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.2,17.425,14.175,43.45,NA,25.22333333,0,0,0,0,0,0,0,0,13.71415333,NA,13.71415333,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157714835,0.13641475,13.7141533315,13.7141533315
"10","ET17",12,49,"ET",17,"2013",4,50,579,66.16764103,130,22,"mesic-subhygric",579,63.78031,-150.1979,NA,NA,0.123117507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.75,21.65,22,36,NA,16.85666667,0,0,0,0,0,0,0,0,5.347486667,NA,5.347486667,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123117507,0.099470859,5.34748666675,5.34748666675
