"","gridpoint","grid.x","spruce","density_ALL","density_spruce","date","burn","picmar_tree.spec.bio.m2","picgla_tree.spec.bio.m2","picmar_tree.spec.carbon.cons.m2","picgla_tree.spec.carbon.cons.m2"
"4","ET1","ET",0,0,0,"Fall 2016","burn",0,0,0,0
"5","ET1","ET",0,0,0,"Spring 2018","burn",0,0,0,0
"6","ET1","ET",0,0,0,"Fall 2018","burn",0,0,0,0
"7","ET1","ET",0,0,0,"Fall 2017","burn",0,0,0,0
"8","ET1","ET",1,0,0,"Spring 2017","burn",0,0,0,0
"10","ET11","ET",0,0,0,"Spring 2017","burn",0,0,0,0
"11","ET11","ET",0,0,0,"Fall 2016","burn",0,0,0,0
"12","ET11","ET",1,0,0,"Spring 2018","burn",0,0,0,0
"13","ET11","ET",0,0,0,"Fall 2017","burn",0,0,0,0
"14","ET11","ET",1,0,0,"Fall 2018","burn",0,0,0,0
"30","ET26","ET",0,0,0,"Fall 2016","unburned",0,0,0,0
"31","ET26","ET",1,0,0,"Fall 2017","unburned",0,0,0,0
"32","ET26","ET",1,0,0,"Spring 2017","unburned",0,0,0,0
"33","ET26","ET",0,0,0,"Fall 2018","unburned",0,0,0,0
"34","ET26","ET",0,0,0,"Spring 2018","unburned",0,0,0,0
"35","ET27","ET",0,0,0,"Fall 2016","unburned",0,0,0,0
"36","ET27","ET",0,0,0,"Fall 2018","unburned",0,0,0,0
"37","ET27","ET",0,0,0,"Spring 2017","unburned",0,0,0,0
"38","ET27","ET",0,0,0,"Spring 2018","unburned",0,0,0,0
"39","ET27","ET",0,0,0,"Fall 2017","unburned",0,0,0,0
"40","ET28","ET",0,0,0,"Fall 2016","unburned",0,0,0,0
"41","ET28","ET",0,0,0,"Spring 2017","unburned",0,0,0,0
"42","ET28","ET",0,0,0,"Spring 2018","unburned",0,0,0,0
"43","ET28","ET",1,0,0,"Fall 2017","unburned",0,0,0,0
"44","ET28","ET",0,0,0,"Fall 2018","unburned",0,0,0,0
"48","ET6","ET",0,0,0,"Spring 2018","burn",0,0,0,0
"49","ET6","ET",0,0,0,"Fall 2017","burn",0,0,0,0
"50","ET6","ET",1,0,0,"Spring 2017","burn",0,0,0,0
"51","ET6","ET",0,0,0,"Fall 2018","burn",0,0,0,0
"52","ET6","ET",1,0,0,"Fall 2016","burn",0,0,0,0
"71","WC1","WC",0,0,0,"Fall 2016","burn",0,0,0,0
"72","WC1","WC",5,0,0,"Spring 2017","burn",0,0,0,0
"73","WC1","WC",0,0,0,"Fall 2017","burn",0,0,0,0
"74","WC1","WC",2,0,0,"Fall 2018","burn",0,0,0,0
"75","WC1","WC",0,0,0,"Spring 2018","burn",0,0,0,0
"77","WC11","WC",13,0.07464172,0.07464172,"Spring 2017","burn",0.388099088,0.077380862,0.110554298,0.036712698
"78","WC11","WC",3,0.07464172,0.07464172,"Fall 2016","burn",0.388099088,0.077380862,0.110554298,0.036712698
"79","WC11","WC",19,0.07464172,0.07464172,"Fall 2017","burn",0.388099088,0.077380862,0.110554298,0.036712698
"80","WC11","WC",0,0.07464172,0.07464172,"Fall 2018","burn",0.388099088,0.077380862,0.110554298,0.036712698
"81","WC11","WC",0,0.07464172,0.07464172,"Spring 2018","burn",0.388099088,0.077380862,0.110554298,0.036712698
"95","WC26","WC",1,0,0,"Fall 2017","unburned",0,0,0,0
"96","WC26","WC",0,0,0,"Fall 2018","unburned",0,0,0,0
"97","WC26","WC",1,0,0,"Spring 2017","unburned",0,0,0,0
"98","WC26","WC",1,0,0,"Fall 2016","unburned",0,0,0,0
"99","WC26","WC",1,0,0,"Spring 2018","unburned",0,0,0,0
"100","WC27","WC",0,0,0,"Fall 2018","unburned",0,0,0,0
"101","WC27","WC",2,0,0,"Fall 2017","unburned",0,0,0,0
"102","WC27","WC",8,0,0,"Spring 2017","unburned",0,0,0,0
"103","WC27","WC",0,0,0,"Fall 2016","unburned",0,0,0,0
"104","WC27","WC",2,0,0,"Spring 2018","unburned",0,0,0,0
"105","WC28","WC",1,0.059713376,0.044785032,"Spring 2018","unburned",0.094182774,0.079204647,0,0
"106","WC28","WC",0,0.059713376,0.044785032,"Fall 2018","unburned",0.094182774,0.079204647,0,0
"107","WC28","WC",3,0.059713376,0.044785032,"Fall 2017","unburned",0.094182774,0.079204647,0,0
"108","WC28","WC",17,0.059713376,0.044785032,"Spring 2017","unburned",0.094182774,0.079204647,0,0
"109","WC28","WC",6,0.059713376,0.044785032,"Fall 2016","unburned",0.094182774,0.079204647,0,0
"113","WC6","WC",1,0.029856688,0.029856688,"Spring 2018","burn",0.030519304,0,0.022160746,0
"114","WC6","WC",1,0.029856688,0.029856688,"Fall 2018","burn",0.030519304,0,0.022160746,0
"115","WC6","WC",0,0.029856688,0.029856688,"Fall 2017","burn",0.030519304,0,0.022160746,0
"116","WC6","WC",5,0.029856688,0.029856688,"Spring 2017","burn",0.030519304,0,0.022160746,0
"117","WC6","WC",5,0.029856688,0.029856688,"Fall 2016","burn",0.030519304,0,0.022160746,0
