"","grid","gridpoint","density_spruce","tree.carbon.cons.m2","tree.bio.carbon.m2","burn.year1","grid.x","SOL.c.cons","prefire.SOL.c","total.C.cons","total.C.prefire","prop.C.con","prop.SOL.C.con","group1","Density"
"1","ET","ET1",0,0,0,"burn","ET",2.826529021,10.999040781,2.826529021,10.999040781,0.256979592791638,1,"0","low"
"2","ET","ET10",0,0,0,"burn","ET",1.68492381234,9.63386660834,1.68492381234,9.63386660834,0.174895904296762,1,"0","low"
"3","ET","ET11",0,0,0,"burn","ET",2.05310418366667,9.86240858633333,2.05310418366667,9.86240858633333,0.208174723820682,1,"0","low"
"4","ET","ET13",0,0,0,"burn","ET",1.3754113767,9.1842857545,1.3754113767,9.1842857545,0.14975703211609,1,"0","low"
"5","ET","ET14",0,0,0,"burn","ET",3.555761403,12.23484137,3.555761403,12.23484137,0.290625868817456,1,"0","low"
"6","ET","ET15",0,0,0,"burn","ET",0.694397048775,14.152962079225,0.694397048775,14.152962079225,0.0490637256630751,1,"0","low"
"7","ET","ET16",0,0,0,"burn","ET",2.8904746653,13.2726008993,2.8904746653,13.2726008993,0.217777562003876,1,"0","low"
"8","ET","ET17",0,0,0,"burn","ET",0.81553044582,15.51559453102,0.81553044582,15.51559453102,0.0525619849235894,1,"0","low"
"9","ET","ET18",0,0,0,"burn","ET",2.50682734033333,8.718013713,2.50682734033333,8.718013713,0.287545698235739,1,"0","low"
"10","ET","ET19",0,0,0,"burn","ET",3.986758024,7.85833708006667,3.986758024,7.85833708006667,0.507328456819796,1,"0","low"
"11","ET","ET2",0,0,0,"burn","ET",1.700990281,5.33119421595,1.700990281,5.33119421595,0.319063649174689,1,"0","low"
"12","ET","ET20",0,0,0,"burn","ET",2.81185477325,9.51468324665,2.81185477325,9.51468324665,0.295527943532962,1,"0","low"
"13","ET","ET21",0,0,0,"burn","ET",3.008822427,9.0977056975,3.008822427,9.0977056975,0.33072320946003,1,"0","low"
"14","ET","ET22",0.099522293,0.073408359,0.238689994,"burn","ET",0.7823398682,3.4799063397,0.8557482272,3.7185963337,0.230126679641114,0.914217340256501,"(0.0249,0.229]","high"
"15","ET","ET23",0.004976115,0.000520224,0.000809822,"burn","ET",1.2488242195,8.1331647494,1.2493444435,8.1339745714,0.153595813772622,0.999583602422289,"(0,0.0249]","mid"
"16","ET","ET24",0.024880573,0.000926331,0.004148312,"burn","ET",1.595430271,6.86388607736667,1.596356602,6.86803438936667,0.232432820148882,0.999419721759637,"(0,0.0249]","mid"
"17","ET","ET25",0.129378981,0.075278844,0.282037227,"burn","ET",1.13342652405,6.8485176844,1.20870536805,7.1305549114,0.169510701911513,0.937719442645111,"(0.0249,0.229]","high"
"18","ET","ET3",0.004976115,0.001282718,0.002531367,"burn","ET",0.733320531075,4.902639680825,0.734603249075,4.905171047825,0.149760985277105,0.99825386288229,"(0,0.0249]","mid"
"19","ET","ET4",0.079617834,0.038988061,0.126547163,"burn","ET",0.8229460238,8.7112758195,0.8619340848,8.8378229825,0.0975278738334924,0.954766771975323,"(0.0249,0.229]","high"
"20","ET","ET5",0.019904459,0.018013282,0.066494457,"burn","ET",1.3297436562,4.494056135625,1.3477569382,4.560550592625,0.295525049185837,0.986634621206953,"(0,0.0249]","mid"
"21","ET","ET6",0,0,0,"burn","ET",3.25877481325,13.78010573675,3.25877481325,13.78010573675,0.236484020914238,1,"0","low"
"22","ET","ET7",0,0,0,"burn","ET",1.15805782223333,8.5419987787,1.15805782223333,8.5419987787,0.135572229900222,1,"0","low"
"23","ET","ET8",0,0,0,"burn","ET",1.190569015725,6.239414993475,1.190569015725,6.239414993475,0.190814205653905,1,"0","low"
"24","ET","ET9",0,0,0,"burn","ET",2.084445748,5.840639700775,2.084445748,5.840639700775,0.356886549211966,1,"0","low"
"25","WC","WC1",0,0,0,"burn","WC",3.13252270675,8.2754456395,3.13252270675,8.2754456395,0.378532207594716,1,"0","low"
"26","WC","WC10",0,0.069930048,0.311592494,"burn","WC",1.679965361,11.361910095,1.749895409,11.673502589,0.149903201344979,0.960037584166266,"0","low"
"27","WC","WC11",0.074641719,0.043946742,0.232739975,"burn","WC",1.8921339685,2.84355360465,1.9360807105,3.07629357965,0.629354988518448,0.977301182868223,"(0.0249,0.229]","high"
"28","WC","WC12",0.009952229,0.002597739,0.006103146,"burn","WC",3.0036022265,12.198141616925,3.0061999655,12.204244762925,0.246324129341659,0.999135872852833,"(0,0.0249]","mid"
"29","WC","WC13",0.019904459,0.006501147,0.018659543,"burn","WC",2.93258531533333,11.799481982,2.93908646233333,11.818141525,0.248692779327106,0.997788038193732,"(0,0.0249]","mid"
"30","WC","WC14",0.044785032,0.022675148,0.11734046,"burn","WC",2.091186867,9.63724769866667,2.113862015,9.75458815866667,0.216704383682452,0.989273118188843,"(0.0249,0.229]","high"
"31","WC","WC15",0,0,0,"burn","WC",2.6639075915,6.7642319985,2.6639075915,6.7642319985,0.393822623483454,1,"0","low"
"32","WC","WC16",0,0,0,"burn","WC",3.002540022,7.59744105266667,3.002540022,7.59744105266667,0.3952041221756,1,"0","low"
"33","WC","WC17",0.044785032,0.026581119,0.105029521,"burn","WC",1.153242017825,4.434790613075,1.179823136825,4.539820134075,0.259883233692339,0.97747025111617,"(0.0249,0.229]","high"
"34","WC","WC18",0.029856688,0.009317159,0.020293936,"burn","WC",2.377692107,6.889371437,2.387009266,6.909665373,0.345459459632793,0.996096722734716,"(0.0249,0.229]","high"
"35","WC","WC19",0.228901274,0.693755013,3.162023592,"burn","WC",3.616826509,6.734315575,4.310581522,9.896339167,0.435573341743775,0.83905767482664,"(0.0249,0.229]","high"
"36","WC","WC2",0,0,0,"burn","WC",0.9540194793,6.8596245682,0.9540194793,6.8596245682,0.139077506329233,1,"0","low"
"37","WC","WC21",0.204020701,0.217078871,0.987275331,"burn","WC",2.06380284925,5.234755109925,2.28088172025,6.222030440925,0.366581575243935,0.904826774193181,"(0.0249,0.229]","high"
"38","WC","WC22",0.189092357,0.533513221,2.877805613,"burn","WC",2.31028191675,4.9345337173,2.84379513775,7.8123393303,0.364013263827443,0.812393933051692,"(0.0249,0.229]","high"
"39","WC","WC24",0.024880573,0.172165179,0.909648957,"burn","WC",1.902119545,9.68991507666667,2.074284724,10.5995640336667,0.195695286844968,0.917000218432887,"(0,0.0249]","mid"
"40","WC","WC3",0.084593949,0.028484136,0.093195361,"burn","WC",2.2324755791175,11.1143297482675,2.2609597151175,11.2075251092675,0.201735859886489,0.987401749881015,"(0.0249,0.229]","high"
"41","WC","WC4",0.009952229,0.014407347,0.084299457,"burn","WC",1.049600227475,4.116253384075,1.064007574475,4.200552841075,0.253301794961518,0.986459356732391,"(0,0.0249]","mid"
"42","WC","WC5",0,0,0.005339248,"burn","WC",0.316958613375,3.72784594315,0.316958613375,3.73318519115,0.0849029976135102,1,"0","low"
"43","WC","WC6",0.029856688,0.006613108,0.015259652,"burn","WC",3.67490499575,10.90982335625,3.68151810375,10.92508300825,0.336978501762406,0.998203700806669,"(0.0249,0.229]","high"
"44","WC","WC7",0,0,0,"burn","WC",0.490277027825,8.869402493575,0.490277027825,8.869402493575,0.0552773457039701,1,"0","low"
"45","WC","WC8",0.094546178,0.087242186,0.363187072,"burn","WC",1.66168334466667,4.0789284342,1.74892553066667,4.4421155062,0.393714555199125,0.950116694810473,"(0.0249,0.229]","high"
"46","WC","WC9",0.069665605,0.15454701,0.783252835,"burn","WC",2.6882294235,5.614781594,2.8427764335,6.398034429,0.444320277586302,0.945635186721411,"(0.0249,0.229]","high"
