"","grid","gridpoint","sol","new.td","density_spruce","group1","Density"
"1","ET","ET1",19.3,41.8,0,"0","low"
"2","ET","ET1",8.5,41.7,0,"0","low"
"3","ET","ET1",19.1,44.7,0,"0","low"
"4","ET","ET1",15.5,31.4,0,"0","low"
"5","ET","ET1",10.2,50,0,"0","low"
"6","ET","ET1",18.1,44.5,0,"0","low"
"7","ET","ET1",18,39.3,0,"0","low"
"8","ET","ET1",24.1,33.7,0,"0","low"
"9","ET","ET1",16.1,35.3,0,"0","low"
"10","ET","ET1",24.3,29,0,"0","low"
"11","ET","ET1",12,36.4,0,"0","low"
"12","ET","ET1",21.1,37.5,0,"0","low"
"13","ET","ET10",19.5,28.5,0,"0","low"
"14","ET","ET10",34,38.2,0,"0","low"
"15","ET","ET10",22,25,0,"0","low"
"16","ET","ET10",29.2,31.8,0,"0","low"
"17","ET","ET10",15,35,0,"0","low"
"18","ET","ET10",28,28.4,0,"0","low"
"19","ET","ET10",33.5,36,0,"0","low"
"20","ET","ET10",12.5,30.2,0,"0","low"
"21","ET","ET10",12.2,30.2,0,"0","low"
"22","ET","ET10",26,28.2,0,"0","low"
"23","ET","ET10",19.5,29.7,0,"0","low"
"24","ET","ET11",20.5,25.5,0,"0","low"
"25","ET","ET11",13.5,30.9,0,"0","low"
"26","ET","ET11",14.2,52.4,0,"0","low"
"27","ET","ET11",10.5,35.1,0,"0","low"
"28","ET","ET11",23,33.4,0,"0","low"
"29","ET","ET11",13.6,32.5,0,"0","low"
"30","ET","ET11",22.4,36.7,0,"0","low"
"31","ET","ET11",12.5,44.5,0,"0","low"
"32","ET","ET11",21.1,37.9,0,"0","low"
"33","ET","ET11",49.9,56.2,0,"0","low"
"34","ET","ET11",16.1,33.7,0,"0","low"
"35","ET","ET11",9,34.2,0,"0","low"
"36","ET","ET13",31.2,40.9,0,"0","low"
"37","ET","ET13",12,29.9,0,"0","low"
"38","ET","ET13",32.1,42.7,0,"0","low"
"39","ET","ET13",19.5,35.1,0,"0","low"
"40","ET","ET13",17.5,46.8,0,"0","low"
"41","ET","ET13",23,36.2,0,"0","low"
"42","ET","ET13",18,39.7,0,"0","low"
"43","ET","ET13",31.1,52.5,0,"0","low"
"44","ET","ET13",40.5,49.8,0,"0","low"
"45","ET","ET13",22.5,35.1,0,"0","low"
"46","ET","ET13",34.9,58,0,"0","low"
"47","ET","ET13",21,50.2,0,"0","low"
"48","ET","ET14",27.1,40.9,0,"0","low"
"49","ET","ET14",7.5,37.5,0,"0","low"
"50","ET","ET14",1.2,61,0,"0","low"
"51","ET","ET14",22.5,32.6,0,"0","low"
"52","ET","ET14",9.5,45.9,0,"0","low"
"53","ET","ET14",16,35.3,0,"0","low"
"54","ET","ET14",24.4,32.5,0,"0","low"
"55","ET","ET14",22.2,40,0,"0","low"
"56","ET","ET14",16.9,36.6,0,"0","low"
"57","ET","ET14",31.5,40.2,0,"0","low"
"58","ET","ET14",26.5,34.7,0,"0","low"
"59","ET","ET15",23.9,33.5,0,"0","low"
"60","ET","ET15",30,37.9,0,"0","low"
"61","ET","ET15",34,35.6,0,"0","low"
"62","ET","ET15",7,38.5,0,"0","low"
"63","ET","ET15",29.3,42,0,"0","low"
"64","ET","ET15",20,39.8,0,"0","low"
"65","ET","ET15",16.5,41.9,0,"0","low"
"66","ET","ET15",22.5,34.9,0,"0","low"
"67","ET","ET15",23,33,0,"0","low"
"68","ET","ET16",25.5,40.5,0,"0","low"
"69","ET","ET16",19.5,32.5,0,"0","low"
"70","ET","ET16",22,47.2,0,"0","low"
"71","ET","ET16",19,46.5,0,"0","low"
"72","ET","ET16",6.5,40,0,"0","low"
"73","ET","ET16",12.5,47.7,0,"0","low"
"74","ET","ET16",13.5,43.7,0,"0","low"
"75","ET","ET16",11.5,38.1,0,"0","low"
"76","ET","ET16",24.2,42.4,0,"0","low"
"77","ET","ET16",4.1,36.6,0,"0","low"
"78","ET","ET16",22.3,31.9,0,"0","low"
"79","ET","ET16",15.5,40.3,0,"0","low"
"80","ET","ET17",2.5,52,0,"0","low"
"81","ET","ET17",23.5,36.5,0,"0","low"
"82","ET","ET17",21.5,42.5,0,"0","low"
"83","ET","ET17",22,44.5,0,"0","low"
"84","ET","ET17",13,35,0,"0","low"
"85","ET","ET17",27,38.5,0,"0","low"
"86","ET","ET17",12.5,37,0,"0","low"
"87","ET","ET17",3.2,40,0,"0","low"
"88","ET","ET18",42.5,42.9,0,"0","low"
"89","ET","ET18",25,32.5,0,"0","low"
"90","ET","ET18",11.5,34.9,0,"0","low"
"91","ET","ET18",24.6,33.5,0,"0","low"
"92","ET","ET18",23.5,29.1,0,"0","low"
"93","ET","ET18",23,34.9,0,"0","low"
"94","ET","ET18",39.8,48.7,0,"0","low"
"95","ET","ET18",15,37.2,0,"0","low"
"96","ET","ET18",22.6,35,0,"0","low"
"97","ET","ET18",20.3,29.7,0,"0","low"
"98","ET","ET18",22.1,33.7,0,"0","low"
"99","ET","ET19",15.6,28.9,0,"0","low"
"100","ET","ET19",21.4,37.8,0,"0","low"
"101","ET","ET19",21.4,41.5,0,"0","low"
"102","ET","ET19",12.2,28.6,0,"0","low"
"103","ET","ET19",6.4,58,0,"0","low"
"104","ET","ET19",10.5,52.4,0,"0","low"
"105","ET","ET19",24.6,48.2,0,"0","low"
"106","ET","ET19",11.7,39.6,0,"0","low"
"107","ET","ET19",27.5,36.8,0,"0","low"
"108","ET","ET19",32.5,39,0,"0","low"
"109","ET","ET19",12.1,52.5,0,"0","low"
"110","ET","ET19",23.9,38.5,0,"0","low"
"111","ET","ET2",12.5,35.5,0,"0","low"
"112","ET","ET2",8.5,41,0,"0","low"
"113","ET","ET2",2.9,48,0,"0","low"
"114","ET","ET2",1.5,56.5,0,"0","low"
"115","ET","ET2",6,37,0,"0","low"
"116","ET","ET2",6.5,41.5,0,"0","low"
"117","ET","ET2",15,42,0,"0","low"
"118","ET","ET2",15,42,0,"0","low"
"119","ET","ET2",5.5,54.5,0,"0","low"
"120","ET","ET2",15.5,40,0,"0","low"
"121","ET","ET2",25.2,40,0,"0","low"
"122","ET","ET2",6,50.5,0,"0","low"
"123","ET","ET20",18.4,38.5,0,"0","low"
"124","ET","ET20",18.5,34.6,0,"0","low"
"125","ET","ET20",21.2,34.6,0,"0","low"
"126","ET","ET20",16,42.8,0,"0","low"
"127","ET","ET20",22.1,36.7,0,"0","low"
"128","ET","ET20",31.5,32.8,0,"0","low"
"129","ET","ET20",24.1,36.4,0,"0","low"
"130","ET","ET20",13.5,32.3,0,"0","low"
"131","ET","ET20",27.1,38.4,0,"0","low"
"132","ET","ET20",22.5,38.1,0,"0","low"
"133","ET","ET20",15,35.9,0,"0","low"
"134","ET","ET21",11.8,42.2,0,"0","low"
"135","ET","ET21",12.5,31.4,0,"0","low"
"136","ET","ET21",14.8,41.9,0,"0","low"
"137","ET","ET21",12.1,43.5,0,"0","low"
"138","ET","ET21",23.1,32.4,0,"0","low"
"139","ET","ET21",13.5,36.3,0,"0","low"
"140","ET","ET21",29,36.5,0,"0","low"
